Model: ,Oscilloscope MSO-X 2012A
Serial Number:,MY54020352
Address: ,USBInstrument4
Date: ,2025-05-15 11:39:22

Analog Sample Count:,914,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Maximum(2),,,Maximum(1),,,Period(1),,,Frequency(1),,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,ROLL,,Mode,NORM,,Cur,No signal,,Cur,0.0337,,Cur,0.016,,Cur,61,,
Pos,-850 µV,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 ms/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-2.5 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,NONE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,59.15 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-5,0.0128183435299434,,
2,-4.99453125,0.0116123132174835,,
3,-4.9890625,0.0116123132174835,,
4,-4.98359375,0.0120143233216368,,
5,-4.978125,0.0120143233216368,,
6,-4.97265625,0.0124163334257901,,
7,-4.9671875,0.0128183435299434,,
8,-4.96171875,0.0108082930091769,,
9,-4.95625,0.0108082930091769,,
10,-4.95078125,0.0120143233216368,,
11,-4.9453125,0.01362236373825,,
12,-4.93984375,0.0116123132174835,,
13,-4.934375,0.0132203536340967,,
14,-4.92890625,0.0112103031133302,,
15,-4.9234375,0.0124163334257901,,
16,-4.91796875,0.0116123132174835,,
17,-4.9125,0.0120143233216368,,
18,-4.90703125,0.0132203536340967,,
19,-4.9015625,0.0116123132174835,,
20,-4.89609375,0.0128183435299434,,
21,-4.890625,0.0112103031133302,,
22,-4.88515625,0.0116123132174835,,
23,-4.8796875,0.0108082930091769,,
24,-4.87421875,0.0124163334257901,,
25,-4.86875,0.0124163334257901,,
26,-4.86328125,0.0140243738424033,,
27,-4.8578125,0.0112103031133302,,
28,-4.85234375,0.0116123132174835,,
29,-4.846875,0.0104062829050235,,
30,-4.84140625,0.0116123132174835,,
31,-4.8359375,0.0112103031133302,,
32,-4.83046875,0.0132203536340967,,
33,-4.825,0.0124163334257901,,
34,-4.81953125,0.0108082930091769,,
35,-4.8140625,0.0124163334257901,,
36,-4.80859375,0.0112103031133302,,
37,-4.803125,0.0120143233216368,,
38,-4.79765625,0.0120143233216368,,
39,-4.7921875,0.0116123132174835,,
40,-4.78671875,0.0132203536340967,,
41,-4.78125,0.0116123132174835,,
42,-4.77578125,0.0128183435299434,,
43,-4.7703125,0.0124163334257901,,
44,-4.76484375,0.0128183435299434,,
45,-4.759375,0.0128183435299434,,
46,-4.75390625,0.0112103031133302,,
47,-4.7484375,0.0132203536340967,,
48,-4.74296875,0.0120143233216368,,
49,-4.7375,0.0124163334257901,,
50,-4.73203125,0.0112103031133302,,
51,-4.7265625,0.0112103031133302,,
52,-4.72109375,0.0108082930091769,,
53,-4.715625,0.0116123132174835,,
54,-4.71015625,0.0112103031133302,,
55,-4.7046875,0.0116123132174835,,
56,-4.69921875,0.0124163334257901,,
57,-4.69375,0.0108082930091769,,
58,-4.68828125,0.0128183435299434,,
59,-4.6828125,0.0120143233216368,,
60,-4.67734375,0.0120143233216368,,
61,-4.671875,0.0116123132174835,,
62,-4.66640625,0.0132203536340967,,
63,-4.6609375,0.0112103031133302,,
64,-4.65546875,0.0112103031133302,,
65,-4.65,0.0104062829050235,,
66,-4.64453125,0.0124163334257901,,
67,-4.6390625,0.0116123132174835,,
68,-4.63359375,0.0120143233216368,,
69,-4.628125,0.0128183435299434,,
70,-4.62265625,0.0112103031133302,,
71,-4.6171875,0.0120143233216368,,
72,-4.61171875,0.0112103031133302,,
73,-4.60625,0.0116123132174835,,
74,-4.60078125,0.0112103031133302,,
75,-4.5953125,0.0116123132174835,,
76,-4.58984375,0.0108082930091769,,
77,-4.584375,0.0120143233216368,,
78,-4.57890625,0.0112103031133302,,
79,-4.5734375,0.0116123132174835,,
80,-4.56796875,0.0132203536340967,,
81,-4.5625,0.0120143233216368,,
82,-4.55703125,0.0152304041548632,,
83,-4.5515625,0.0152304041548632,,
84,-4.54609375,0.0148283940507099,,
85,-4.540625,0.01362236373825,,
86,-4.53515625,0.0152304041548632,,
87,-4.5296875,0.01362236373825,,
88,-4.52421875,0.0124163334257901,,
89,-4.51875,0.0112103031133302,,
90,-4.51328125,0.0164364344673231,,
91,-4.5078125,0.0160344243631698,,
92,-4.50234375,0.0112103031133302,,
93,-4.496875,0.0156324142590165,,
94,-4.49140625,0.0148283940507099,,
95,-4.4859375,0.0132203536340967,,
96,-4.48046875,0.0172404546756297,,
97,-4.475,0.017642464779783,,
98,-4.46953125,0.0164364344673231,,
99,-4.4640625,0.0152304041548632,,
100,-4.45859375,0.0148283940507099,,
101,-4.453125,0.01362236373825,,
102,-4.44765625,0.0152304041548632,,
103,-4.4421875,0.0180444748839363,,
104,-4.43671875,0.0148283940507099,,
105,-4.43125,0.0168384445714764,,
106,-4.42578125,0.0172404546756297,,
107,-4.4203125,0.0144263839465566,,
108,-4.41484375,0.0152304041548632,,
109,-4.409375,0.017642464779783,,
110,-4.40390625,0.0132203536340967,,
111,-4.3984375,0.0144263839465566,,
112,-4.39296875,0.0144263839465566,,
113,-4.3875,0.0140243738424033,,
114,-4.38203125,0.0144263839465566,,
115,-4.3765625,0.0164364344673231,,
116,-4.37109375,0.0120143233216368,,
117,-4.365625,0.0140243738424033,,
118,-4.36015625,0.0124163334257901,,
119,-4.3546875,0.0200545254047029,,
120,-4.34921875,0.0124163334257901,,
121,-4.34375,0.0180444748839363,,
122,-4.33828125,0.0120143233216368,,
123,-4.3328125,0.0124163334257901,,
124,-4.32734375,0.0144263839465566,,
125,-4.321875,0.0140243738424033,,
126,-4.31640625,0.0124163334257901,,
127,-4.3109375,0.0164364344673231,,
128,-4.30546875,0.0132203536340967,,
129,-4.3,0.0120143233216368,,
130,-4.29453125,0.017642464779783,,
131,-4.2890625,0.0132203536340967,,
132,-4.28359375,0.0116123132174835,,
133,-4.278125,0.017642464779783,,
134,-4.27265625,0.0144263839465566,,
135,-4.2671875,0.01362236373825,,
136,-4.26171875,0.0144263839465566,,
137,-4.25625,0.0144263839465566,,
138,-4.25078125,0.0148283940507099,,
139,-4.2453125,0.0144263839465566,,
140,-4.23984375,0.0168384445714764,,
141,-4.234375,0.0112103031133302,,
