Model: ,Oscilloscope MSO-X 2012A
Serial Number:,MY54020352
Address: ,USBInstrument4
Date: ,2025-05-15 11:41:45

Analog Sample Count:,914,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Maximum(2),,,Maximum(1),,,Period(1),,,Frequency(1),,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,ROLL,,Mode,NORM,,Cur,No signal,,Cur,0.0341,,Cur,0.017,,Cur,58,,
Pos,-850 µV,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 ms/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-2.5 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,NONE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,59.15 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-5,0.0132203536340967,,
2,-4.99453125,0.0132203536340967,,
3,-4.9890625,0.0144263839465566,,
4,-4.98359375,0.0132203536340967,,
5,-4.978125,0.0128183435299434,,
6,-4.97265625,0.0116123132174835,,
7,-4.9671875,0.0140243738424033,,
8,-4.96171875,0.0140243738424033,,
9,-4.95625,0.0124163334257901,,
10,-4.95078125,0.0120143233216368,,
11,-4.9453125,0.0128183435299434,,
12,-4.93984375,0.0144263839465566,,
13,-4.934375,0.0128183435299434,,
14,-4.92890625,0.0120143233216368,,
15,-4.9234375,0.0140243738424033,,
16,-4.91796875,0.0132203536340967,,
17,-4.9125,0.0120143233216368,,
18,-4.90703125,0.0132203536340967,,
19,-4.9015625,0.0132203536340967,,
20,-4.89609375,0.0132203536340967,,
21,-4.890625,0.01362236373825,,
22,-4.88515625,0.0108082930091769,,
23,-4.8796875,0.0112103031133302,,
24,-4.87421875,0.0128183435299434,,
25,-4.86875,0.0124163334257901,,
26,-4.86328125,0.0120143233216368,,
27,-4.8578125,0.0144263839465566,,
28,-4.85234375,0.01362236373825,,
29,-4.846875,0.0116123132174835,,
30,-4.84140625,0.0140243738424033,,
31,-4.8359375,0.0132203536340967,,
32,-4.83046875,0.01362236373825,,
33,-4.825,0.0124163334257901,,
