Model: ,Oscilloscope MSO-X 2012A
Serial Number:,MY54020352
Address: ,USBInstrument4
Date: ,2025-05-20 11:53:32

Analog Sample Count:,914,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Maximum(2),,,Maximum(1),,,Period(1),,,Frequency(1),,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,ROLL,,Mode,NORM,,Cur,No signal,,Cur,0.0338,,Cur,0.005,,Cur,140,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 ms/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-2.5 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,NONE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,60 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-5,0.0120603031245992,,
2,-4.99453125,0.0128643233329058,,
3,-4.9890625,0.0124623132287525,,
4,-4.98359375,0.0124623132287525,,
5,-4.978125,0.0128643233329058,,
6,-4.97265625,0.0124623132287525,,
7,-4.9671875,0.0116582930204459,,
8,-4.96171875,0.0120603031245992,,
9,-4.95625,0.0112562829162925,,
10,-4.95078125,0.0116582930204459,,
11,-4.9453125,0.0132663334370591,,
12,-4.93984375,0.0116582930204459,,
13,-4.934375,0.0116582930204459,,
14,-4.92890625,0.0120603031245992,,
15,-4.9234375,0.0128643233329058,,
16,-4.91796875,0.0124623132287525,,
17,-4.9125,0.0116582930204459,,
18,-4.90703125,0.0120603031245992,,
19,-4.9015625,0.0108542728121392,,
20,-4.89609375,0.0120603031245992,,
21,-4.890625,0.0124623132287525,,
22,-4.88515625,0.0124623132287525,,
23,-4.8796875,0.0120603031245992,,
24,-4.87421875,0.0136683435412124,,
25,-4.86875,0.0112562829162925,,
26,-4.86328125,0.0124623132287525,,
27,-4.8578125,0.0128643233329058,,
28,-4.85234375,0.0132663334370591,,
29,-4.846875,0.0124623132287525,,
30,-4.84140625,0.0120603031245992,,
31,-4.8359375,0.0120603031245992,,
32,-4.83046875,0.0112562829162925,,
33,-4.825,0.0136683435412124,,
34,-4.81953125,0.0140703536453657,,
35,-4.8140625,0.0160804041661322,,
36,-4.80859375,0.0136683435412124,,
37,-4.803125,0.0148743738536723,,
38,-4.79765625,0.0128643233329058,,
39,-4.7921875,0.0132663334370591,,
40,-4.78671875,0.0132663334370591,,
41,-4.78125,0.0124623132287525,,
42,-4.77578125,0.0124623132287525,,
43,-4.7703125,0.0124623132287525,,
44,-4.76484375,0.0128643233329058,,
45,-4.759375,0.0124623132287525,,
46,-4.75390625,0.0132663334370591,,
47,-4.7484375,0.0140703536453657,,
48,-4.74296875,0.0128643233329058,,
49,-4.7375,0.0112562829162925,,
50,-4.73203125,0.0128643233329058,,
51,-4.7265625,0.0140703536453657,,
52,-4.72109375,0.0128643233329058,,
53,-4.715625,0.0128643233329058,,
54,-4.71015625,0.0120603031245992,,
55,-4.7046875,0.0124623132287525,,
56,-4.69921875,0.0140703536453657,,
57,-4.69375,0.0136683435412124,,
58,-4.68828125,0.0132663334370591,,
59,-4.6828125,0.0148743738536723,,
60,-4.67734375,0.0120603031245992,,
61,-4.671875,0.0124623132287525,,
62,-4.66640625,0.0128643233329058,,
63,-4.6609375,0.0124623132287525,,
64,-4.65546875,0.0132663334370591,,
65,-4.65,0.0124623132287525,,
66,-4.64453125,0.0124623132287525,,
67,-4.6390625,0.0112562829162925,,
68,-4.63359375,0.0132663334370591,,
69,-4.628125,0.0100502526038326,,
70,-4.62265625,0.0112562829162925,,
71,-4.6171875,0.0132663334370591,,
72,-4.61171875,0.0124623132287525,,
73,-4.60625,0.0128643233329058,,
74,-4.60078125,0.0120603031245992,,
75,-4.5953125,0.0124623132287525,,
76,-4.58984375,0.0120603031245992,,
77,-4.584375,0.0120603031245992,,
78,-4.57890625,0.0112562829162925,,
79,-4.5734375,0.0112562829162925,,
80,-4.56796875,0.0116582930204459,,
81,-4.5625,0.0132663334370591,,
82,-4.55703125,0.0132663334370591,,
83,-4.5515625,0.0120603031245992,,
84,-4.54609375,0.0108542728121392,,
85,-4.540625,0.0116582930204459,,
86,-4.53515625,0.0120603031245992,,
87,-4.5296875,0.0128643233329058,,
88,-4.52421875,0.0136683435412124,,
89,-4.51875,0.0132663334370591,,
90,-4.51328125,0.0120603031245992,,
91,-4.5078125,0.0128643233329058,,
92,-4.50234375,0.0124623132287525,,
93,-4.496875,0.0120603031245992,,
94,-4.49140625,0.0136683435412124,,
95,-4.4859375,0.0136683435412124,,
96,-4.48046875,0.0136683435412124,,
97,-4.475,0.0116582930204459,,
98,-4.46953125,0.0128643233329058,,
99,-4.4640625,0.0124623132287525,,
100,-4.45859375,0.0116582930204459,,
101,-4.453125,0.0140703536453657,,
102,-4.44765625,0.0120603031245992,,
103,-4.4421875,0.0128643233329058,,
104,-4.43671875,0.0132663334370591,,
105,-4.43125,0.014472363749519,,
106,-4.42578125,0.0172864344785921,,
107,-4.4203125,0.0124623132287525,,
108,-4.41484375,0.0128643233329058,,
109,-4.409375,0.0148743738536723,,
110,-4.40390625,0.0201005052076653,,
111,-4.3984375,0.0148743738536723,,
112,-4.39296875,0.0172864344785921,,
113,-4.3875,0.0148743738536723,,
114,-4.38203125,0.014472363749519,,
115,-4.3765625,0.0160804041661322,,
